Ciclo,Artículo,Familia,Fecha,Corrida,Gramaje Prom,Esp.Prom,Hum. Prom.,R/L Prom.,R/T Prom.,Relac. Rig.,Internal Bonding,Blancura Lado Barrera,Blancura Lado sin Barrera,Cobb Lado Barrera Base 2',Cobb Lado sin Barrera 2',Dennison Lado sin Barrera,Tersura Sheffield Lado Barrera,Tersura Sheffield Lado sin Barrera,CBFC,CBFL,CKFL,Pulpa TMP,Recorte Duplex + Area 070,SGW,SOREPA + CEL B,DKL,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK
1,AT260N      ,N,02/03/2021,60402,254.643243243243,408.567567567568,8.47297297297297,14.5486486486486,5.54054054054054,2.62760738701911,244.7,32.0513513513513,31.4859459459459,0.166486486486486,0.327027027027027,16,168.567567567568,349.944444444444,0%,0%,15.8217781110734%,22.5342357790759%,42.5588826740926%,15.1320471730107%,0.227362829998519%,3.72569343274885%,14.3445344667286%,82.7467127108514%,1.91260459556382%,0.996148226856156%,0%,0%,0%
2,AT260N      ,N,04/12/2021,60585,251.647916666667,412.333333333333,8.475,15.4020833333333,5.475,2.81682023600477,207.4,30.998125,29.2175,0.226041666666667,0.368333333333333,16,180.75,331.9375,0%,0%,27.1674778955192%,23.7112816727659%,21.3276624737404%,21.5547721419022%,0.122329525805336%,6.1164762902668%,13.488021128089%,82.0033955857385%,1.99962271269572%,0%,0.660252782493869%,1.84870779098283%,0%
3,AT260N      ,N,07/01/2021,60780,254.216666666667,420.166666666667,7.95,18.75,6.01666666666667,3.11583645853627,194,31.1566666666667,29.33,0.118333333333333,0.33,16,117.5,298.333333333333,0%,0%,19.876615746181%,36.2573443008226%,0%,20.0940070505288%,0.27027027027027%,23.5017626321974%,22.8402366863905%,70.2366863905326%,3.31360946745562%,0%,0.650887573964497%,2.9585798816568%,0%
4,AT260N      ,N,08/10/2021,60874,250.965217391304,415.434782608696,8.55652173913044,17.0304347826087,5.58260869565217,3.05265534768005,209.5,31.8126086956522,29.88,0.163913043478261,0.393478260869565,16,171.565217391304,323.565217391304,0%,0%,22.5733345283671%,26.7077246130011%,15.8128577098885%,25.8127296705548%,0.130600120356974%,8.96275335783153%,18.7669990933817%,74.7960108794198%,2.53853127833182%,0%,0.634632819582956%,3.26382592928377%,0%
5,AT260N      ,N,11/08/2021,61095,251.445161290323,410.645161290323,8.89032258064516,15.3967741935484,5.5741935483871,2.76826736902288,205.4,31.8135483870968,30.3687096774193,0.135161290322581,0.330967741935484,16,191.322580645161,345.387096774194,0.658765868022846%,0%,27.1444475918814%,38.6860255996416%,14.4269725097003%,18.7353012865697%,0.348487144184086%,0%,19.1926884996192%,76.1360751459762%,2.18329525260218%,0%,0%,2.48794110180249%,0%
6,AT260N      ,N,02/05/2022,61301,254.529411764706,409.176470588235,8.73529411764706,15.3470588235294,5.81764705882353,2.63892205143564,189,31.2735294117647,30.6188235294118,sin dato,0.354117647058824,16,170.764705882353,307.882352941176,2.48878707757523%,0%,16.8969909761398%,24.9189137113435%,30.3471456555947%,18.497307828172%,0%,6.85085475117482%,19.3186072631973%,75.7768625982778%,1.7970797454137%,0%,0%,3.10745039311119%,0%
7,AT260N      ,N,04/28/2022,61525,252.348484848485,406.939393939394,8.42727272727273,17.1181818181818,6.48787878787879,2.64607204512263,157.6,33.2760606060606,28.9545454545455,0.66,0.373030303030303,16,99.7272727272727,282.060606060606,6.18871700965623%,0%,22.4254490093581%,32.56928105271%,19.2698740538066%,19.546678874469%,0%,0%,19.3149626577389%,74.2724697398918%,1.41643059490085%,0%,0%,4.99613700746845%,0%
8,AT260N      ,N,06/29/2022,61699,251.632051282051,414.794871794872,8.36538461538461,16.9641025641026,6.28076923076923,2.71348276249884,152.2,31.5864102564103,29.6853846153846,0.75,0.343589743589744,16,116.769230769231,283.961538461538,5.13024320704998%,0%,29.4449004276643%,44.3829107088859%,0%,20.8389131279969%,0.203032528402955%,0%,17.1342958321983%,77.5265595205666%,1.70253336965405%,0%,0%,0%,3.63661127758104%
9,AT260N      ,N,09/09/2022,61919,255.65,411.675675675676,8.36891891891892,17.572972972973,6.38108108108108,2.76182180983453,183.1,31.6275675675676,29.2551351351351,0.443333333333333,0.397432432432432,16,138,304.175675675676,4.17211991179451%,0%,21.0880267000417%,7.21354073544311%,19.9773526431849%,17.0784909708564%,2.22778473091364%,28.2431610942249%,11.6415717958134%,82.5560044069042%,1.39551964744767%,0%,0%,0%,4.40690414983474%
10,AT260N      ,N,11/20/2022 09:20:39,62085,253.069642857143,409.785714285714,8.59642857142857,16.7714285714286,5.73214285714286,2.93245324864522,189,32.2482142857143,31.9114285714286,0.41,0.370892857142857,16,155.107142857143,306.446428571429,10.7043332868887%,0%,19.5781663647764%,33.3403000325113%,6.58933630579165%,18.8449212762993%,2.84473549765454%,7.9246203148948%,26.3706873495587%,66.4081305161808%,2.56753142551484%,0%,0%,0%,4.65365070874565%
